x,y
967.140787949015,444.83719582850523
973.9174147217235,444.2437163375224
979.6569497253907,431.4254330376003
984.7640449438202,394.6670828131502
980.9466510903427,355.7729750778816
970.0117517443996,306.5185457216306
953.9055944055945,266.3181818181818
934.8901542983101,227.37692872887584
904.4691891891891,198.22702702702702
868.9845333333334,185.39893333333333
847.6245191074635,175.29725570659144
808.5740458015267,156.33587786259542
771.7538367096378,145.6230816451811
700.4970845481049,133.46574344023324
649.1559496814598,147.87297389125325
597.8148148148148,162.2802043422733
549.1137440758293,164.1879936808847
499.8499005964215,189.40457256461232
485.2175622542595,255.2350371341197
476.8339935181851,293.1253150882247
465.7729138166895,333.40082079343364
495.7831325301205,380.0043373493976
510.4808268424206,311.3340323547034
516.0766265060241,354.45951807228914
525.5910813174002,423.3401340716992
500.46447291039925,370.7247699518768
475.33786450339835,318.1094058320544
519.5536770921386,238.76331360946745
468.39126853377263,303.2014003294893
435.8058139534884,338.153488372093
844.892163429337,526.6416610850637
848.0671834625323,487.49250645994834
856.3198380566802,464.1445922498554
870.3373493975904,448.0772501771793
877.3229166666666,436.56495098039215
880.7927083333333,430.72447916666664
874.6992110453649,431.3732741617357
881.29614181439,442.9603753910323
875.2313182199832,448.416456759026
883.3927995701235,449.52498656636214
885.1090289608177,446.7802385008518
883.2572898799314,447.32304173813606
